"DATE","DATE_NAME","DATE_CODE","DATE_TYPE","DATE_TYPECODE","DATE_SORTORDER","GEOGRAPHY","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GEOGRAPHY_TYPE","GEOGRAPHY_TYPECODE","GEOGRAPHY_SORTORDER","C2021_HHCOMP_15","C2021_HHCOMP_15_NAME","C2021_HHCOMP_15_CODE","C2021_HHCOMP_15_TYPE","C2021_HHCOMP_15_TYPECODE","C2021_HHCOMP_15_SORTORDER","MEASURES","MEASURES_NAME","OBS_VALUE","OBS_STATUS","OBS_STATUS_NAME","OBS_CONF","OBS_CONF_NAME","URN","RECORD_OFFSET","RECORD_COUNT"
"2021","2021","2021","date",0,0,"633350024","Bradford 001C","E01010648","2021 super output areas - lower layer",151,2,"9","Single family household: Cohabiting couple family: All children non-dependent","_9","Household composition",1000000,13,"20100","Value",2,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350024d9d20100",57,6908
"2021","2021","2021","date",0,0,"633350024","Bradford 001C","E01010648","2021 super output areas - lower layer",151,2,"1005","Single family household: Lone parent family","1005","Household composition",1000000,14,"20100","Value",32,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350024d10a11d20100",58,6908
"2021","2021","2021","date",0,0,"633350024","Bradford 001C","E01010648","2021 super output areas - lower layer",151,2,"10","Single family household: Lone parent family: With dependent children","_10","Household composition",1000000,15,"20100","Value",25,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350024d10d20100",59,6908
"2021","2021","2021","date",0,0,"633350024","Bradford 001C","E01010648","2021 super output areas - lower layer",151,2,"11","Single family household: Lone parent family: All children non-dependent","_11","Household composition",1000000,16,"20100","Value",7,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350024d11d20100",60,6908
"2021","2021","2021","date",0,0,"633350024","Bradford 001C","E01010648","2021 super output areas - lower layer",151,2,"1006","Single family household: Other single family household","1006","Household composition",1000000,17,"20100","Value",0,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350024d12d20100",61,6908
"2021","2021","2021","date",0,0,"633350024","Bradford 001C","E01010648","2021 super output areas - lower layer",151,2,"12","Single family household: Other single family household: Other family composition","_12","Household composition",1000000,18,"20100","Value",0,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350024d12d20100",62,6908
"2021","2021","2021","date",0,0,"633350024","Bradford 001C","E01010648","2021 super output areas - lower layer",151,2,"1007","Other household types","1007","Household composition",1000000,19,"20100","Value",18,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350024d13a14d20100",63,6908
"2021","2021","2021","date",0,0,"633350024","Bradford 001C","E01010648","2021 super output areas - lower layer",151,2,"13","Other household types: With dependent children","_13","Household composition",1000000,20,"20100","Value",6,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350024d13d20100",64,6908
"2021","2021","2021","date",0,0,"633350024","Bradford 001C","E01010648","2021 super output areas - lower layer",151,2,"14","Other household types: Other, including all full-time students and all aged 66 years and over","_14","Household composition",1000000,21,"20100","Value",12,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350024d14d20100",65,6908
"2021","2021","2021","date",0,0,"633350065","Bradford 001D","E01010692","2021 super output areas - lower layer",151,3,"0","Total: All households","0","Household composition",1000000,0,"20100","Value",907,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350065d0d20100",66,6908
"2021","2021","2021","date",0,0,"633350065","Bradford 001D","E01010692","2021 super output areas - lower layer",151,3,"1001","One-person household","1001","Household composition",1000000,1,"20100","Value",359,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350065d1a2d20100",67,6908
"2021","2021","2021","date",0,0,"633350065","Bradford 001D","E01010692","2021 super output areas - lower layer",151,3,"1","One-person household: Aged 66 years and over","_1","Household composition",1000000,2,"20100","Value",209,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350065d1d20100",68,6908
